Serial Number	Date_IV	Obs#	Port#	Observation Length	Exp_Flux	Exp_R2	Lin_Flux	Lin_R2	Tcham_IV	V1_IV	V2_IV	V3_IV	V4_IV	
81A-1652	2020-05-02 19:46:17	491	3	02:00	26.219999	0.9970	26.220	0.9970	15.17	2.7	-0.536	36.297	0.037	
81A-1652	2020-05-02 19:49:52	492	4	02:00	1.790000	0.9989	1.690	0.9988	15.19	2.6	-0.536	14.401	0.037	
81A-1652	2020-05-02 19:53:24	493	1	02:00	3.880000	0.9995	3.070	0.9985	11.44	2.5	-0.536	9.81	0.036	
81A-1652	2020-05-02 19:56:55	494	2	02:00	2.930000	0.9991	2.260	0.9972	14.91	2.7	-0.536	13.225	0.037	
81A-1652	2020-05-02 20:00:28	495	3	02:00	27.889999	0.9973	27.890	0.9973	14.91	2.7	-0.536	38.096	0.037	
81A-1652	2020-05-02 20:04:03	496	4	02:00	1.640000	0.9985	1.640	0.9985	14.86	2.6	-0.536	14.361	0.037	
81A-1652	2020-05-02 20:07:39	497	1	02:00	4.270000	0.9993	3.220	0.9977	13.94	2.5	-0.535	9.781	0.038	
81A-1652	2020-05-02 20:11:10	498	2	02:00	2.780000	0.9988	2.260	0.9979	14.71	2.7	-0.536	13.19	0.037	
81A-1652	2020-05-02 20:14:41	499	3	02:00	28.209999	0.9972	28.210	0.9972	14.71	2.7	-0.535	38.026	0.038	
81A-1652	2020-05-02 20:18:16	500	4	02:00	1.810000	0.9990	1.640	0.9987	14.68	2.6	-0.535	14.317	0.038	
81A-1652	2020-05-02 20:21:48	501	1	02:00	4.100000	0.9991	3.260	0.9981	12.04	2.5	-0.476	7.8	0.157	
81A-1652	2020-05-02 20:25:20	502	2	02:00	2.990000	0.9990	2.280	0.9968	14.44	2.7	-0.535	13.154	0.038	
81A-1652	2020-05-02 20:28:53	503	3	02:00	31.540001	0.9903	31.540	0.9903	14.36	2.7	-0.535	37.692	0.038	
81A-1652	2020-05-02 20:32:28	504	4	02:00	1.670000	0.9984	1.670	0.9984	14.35	2.6	-0.535	14.264	0.038	
81A-1652	2020-05-02 20:36:04	505	1	02:00	4.390000	0.9996	3.250	0.9980	13.15	2.5	-0.531	9.553	0.043	
81A-1652	2020-05-02 20:39:35	506	2	02:00	3.120000	0.9989	2.280	0.9965	14.13	2.7	-0.535	13.105	0.038	
81A-1652	2020-05-02 20:43:09	507	3	02:00	28.920000	0.9964	28.920	0.9964	14.12	2.7	-0.535	36.304	0.038	
81A-1652	2020-05-02 20:46:44	508	4	02:00	1.660000	0.9983	1.660	0.9983	14.13	2.6	-0.535	14.21	0.038	
81A-1652	2020-05-02 20:50:20	509	1	02:00	4.180000	0.9995	3.240	0.9984	13.48	2.5	-0.489	8.264	0.118	
81A-1652	2020-05-02 20:53:52	510	2	02:00	2.860000	0.9986	2.270	0.9970	13.96	2.7	-0.535	13.053	0.038	
81A-1652	2020-05-02 20:57:22	511	3	02:00	31.520000	0.9954	31.520	0.9954	13.86	2.7	-0.535	33.932	0.038	
81A-1652	2020-05-02 21:00:57	512	4	02:00	1.650000	0.9984	1.650	0.9984	13.88	2.6	-0.535	14.158	0.038	
81A-1652	2020-05-02 21:04:33	513	1	02:00	3.820000	0.9993	3.080	0.9985	13.36	2.5	-0.478	7.775	0.155	
81A-1652	2020-05-02 21:08:04	514	2	02:00	3.130000	0.9993	2.250	0.9962	13.74	2.7	-0.535	13.018	0.038	
81A-1652	2020-05-02 21:11:38	515	3	02:00	31.360001	0.9934	31.360	0.9934	13.6	2.7	-0.535	35.795	0.038	
81A-1652	2020-05-02 21:15:13	516	4	02:00	1.790000	0.9981	1.630	0.9978	13.62	2.6	-0.535	14.099	0.038	
81A-1652	2020-05-02 21:18:45	517	1	02:00	3.920000	0.9993	3.140	0.9984	12.47	2.5	-0.504	8.592	0.099	
81A-1652	2020-05-02 21:22:17	518	2	02:00	2.780000	0.9992	2.250	0.9981	13.49	2.7	-0.535	12.976	0.038	
81A-1652	2020-05-02 21:25:48	519	3	02:00	36.160000	0.9960	32.980	0.9953	13.34	2.724	-0.535	36.689	0.039	
81A-1652	2020-05-02 21:29:19	520	4	02:00	1.680000	0.9986	1.650	0.9985	13.34	2.6	-0.535	14.041	0.039	
81A-1652	2020-05-02 21:32:51	521	1	02:00	3.390000	0.9995	3.090	0.9994	12.77	2.5	-0.479	7.699	0.152	
81A-1652	2020-05-02 21:36:21	522	2	02:00	2.830000	0.9985	2.260	0.9970	13.19	2.7	-0.535	12.923	0.038	
81A-1652	2020-05-02 21:39:52	523	3	02:00	32.860001	0.9979	31.060	0.9977	13.04	2.7	-0.535	36.412	0.038	
81A-1652	2020-05-02 21:43:23	524	4	02:00	1.600000	0.9983	1.600	0.9983	13.12	2.6	-0.535	13.989	0.039	
81A-1652	2020-05-02 21:46:59	525	1	02:00	3.570000	0.9994	3.150	0.9990	12.57	2.5	-0.529	9.328	0.046	
81A-1652	2020-05-02 21:50:29	526	2	02:00	2.790000	0.9987	2.250	0.9973	13.08	2.7	-0.535	12.885	0.039	
81A-1652	2020-05-02 21:53:59	527	3	02:00	31.760000	0.9936	31.760	0.9936	12.99	2.685	-0.535	36.14	0.039	
81A-1652	2020-05-02 21:57:34	528	4	02:00	1.660000	0.9976	1.590	0.9975	13.07	2.6	-0.535	13.924	0.039	
81A-1652	2020-05-02 22:01:06	529	1	02:00	3.850000	0.9994	3.180	0.9987	12.56	2.5	-0.482	7.764	0.144	
81A-1652	2020-05-02 22:04:37	530	2	02:00	2.980000	0.9990	2.300	0.9971	13.04	2.7	-0.535	12.829	0.039	
81A-1652	2020-05-02 22:08:10	531	3	02:00	31.190001	0.9976	31.190	0.9976	13	2.724	-0.535	35.764	0.038	
81A-1652	2020-05-02 22:11:45	532	4	02:00	1.670000	0.9984	1.610	0.9984	13.07	2.6	-0.535	13.871	0.039	
81A-1652	2020-05-02 22:15:17	533	1	02:00	3.930000	0.9995	3.260	0.9989	12.69	2.5	-0.528	9.242	0.047	
81A-1652	2020-05-02 22:18:48	534	2	02:00	2.750000	0.9993	2.300	0.9981	13.06	2.7	-0.535	12.804	0.039	
81A-1652	2020-05-02 22:22:20	535	3	02:00	35.549999	0.9940	33.710	0.9937	13.02	2.696	-0.535	36.593	0.039	
81A-1652	2020-05-02 22:25:51	536	4	02:00	1.690000	0.9987	1.650	0.9987	13.06	2.6	-0.535	13.808	0.039	
81A-1652	2020-05-02 22:29:23	537	1	02:00	4.160000	0.9993	3.100	0.9977	12.3	2.5	-0.49	7.841	0.137	
81A-1652	2020-05-02 22:32:55	538	2	02:00	2.940000	0.9987	2.260	0.9969	13.01	2.7	-0.535	12.753	0.039	
81A-1652	2020-05-02 22:36:27	539	3	02:00	34.560001	0.9961	34.280	0.9961	12.92	2.7	-0.535	36.743	0.039	
81A-1652	2020-05-02 22:39:58	540	4	02:00	1.700000	0.9978	1.670	0.9978	12.95	2.6	-0.535	13.769	0.039	
81A-1652	2020-05-02 22:43:30	541	1	02:00	4.420000	0.9994	3.250	0.9976	12.25	2.5	-0.531	9.234	0.044	
81A-1652	2020-05-02 22:47:01	542	2	02:00	2.970000	0.9989	2.290	0.9970	12.85	2.7	-0.535	12.712	0.039	
81A-1652	2020-05-02 22:50:34	543	3	02:00	32.220001	0.9952	32.220	0.9952	12.74	2.7	-0.535	36.299	0.039	
81A-1652	2020-05-02 22:54:09	544	4	02:00	1.690000	0.9978	1.650	0.9978	12.79	2.6	-0.535	13.72	0.039	
81A-1652	2020-05-02 22:57:41	545	1	02:00	4.550000	0.9996	3.310	0.9977	12.44	2.5	-0.491	7.892	0.127	
81A-1652	2020-05-02 23:01:12	546	2	02:00	2.980000	0.9989	2.280	0.9968	12.73	2.7	-0.535	12.671	0.039	
81A-1652	2020-05-02 23:04:45	547	3	02:00	31.760000	0.9964	31.760	0.9964	12.64	2.7	-0.535	36.299	0.039	
81A-1652	2020-05-02 23:08:20	548	4	02:00	1.690000	0.9982	1.650	0.9982	12.65	2.6	-0.535	13.679	0.039	
81A-1652	2020-05-02 23:11:52	549	1	02:00	3.830000	0.9994	3.040	0.9984	12.54	2.5	-0.528	9.128	0.047	
81A-1652	2020-05-02 23:15:24	550	2	02:00	2.940000	0.9992	2.270	0.9972	12.64	2.7	-0.534	12.632	0.04	
81A-1652	2020-05-02 23:18:58	551	3	02:00	31.150000	0.9987	31.150	0.9987	12.55	2.7	-0.535	36.145	0.039	
81A-1652	2020-05-02 23:22:33	552	4	02:00	1.610000	0.9986	1.610	0.9986	12.6	2.6	-0.534	13.627	0.04	
81A-1652	2020-05-02 23:26:09	553	1	02:00	3.910000	0.9993	3.030	0.9981	12.43	2.5	-0.503	8.274	0.099	
81A-1652	2020-05-02 23:29:41	554	2	02:00	3.040000	0.9991	2.260	0.9967	12.57	2.7	-0.535	12.609	0.039	
81A-1652	2020-05-02 23:33:14	555	3	02:00	32.070000	0.9966	32.070	0.9966	12.51	2.7	-0.535	35.904	0.039	
81A-1652	2020-05-02 23:36:49	556	4	02:00	1.640000	0.9983	1.590	0.9983	12.57	2.6	-0.535	13.578	0.039	
81A-1652	2020-05-02 23:40:21	557	1	02:00	4.140000	0.9996	3.060	0.9979	12.43	2.5	-0.534	9.208	0.04	
81A-1652	2020-05-02 23:43:52	558	2	02:00	2.990000	0.9990	2.280	0.9971	12.59	2.7	-0.535	12.572	0.039	
81A-1652	2020-05-02 23:47:25	559	3	02:00	33.380001	0.9902	33.380	0.9902	12.53	2.7	-0.535	35.182	0.039	
81A-1652	2020-05-02 23:51:00	560	4	02:00	1.770000	0.9987	1.630	0.9985	12.6	2.6	-0.534	13.529	0.04	
81A-1652	2020-05-02 23:54:32	561	1	02:00	3.790000	0.9992	3.060	0.9983	12.33	2.5	-0.486	7.778	0.123	
81A-1652	2020-05-02 23:58:04	562	2	02:00	2.790000	0.9989	2.250	0.9975	12.69	2.7	-0.534	12.527	0.04	
81A-1652	2020-05-03 00:01:35	563	3	02:00	33.939999	0.9944	33.940	0.9944	12.66	2.7	-0.534	35.286	0.04	
81A-1652	2020-05-03 00:05:10	564	4	02:00	1.630000	0.9982	1.630	0.9982	12.73	2.6	-0.535	13.508	0.039	
81A-1652	2020-05-03 00:08:46	565	1	02:00	3.850000	0.9995	3.110	0.9984	12.49	2.5	-0.534	9.155	0.04	
81A-1652	2020-05-03 00:12:18	566	2	02:00	3.080000	0.9990	2.270	0.9967	12.79	2.7	-0.535	12.504	0.039	
81A-1652	2020-05-03 00:15:52	567	3	02:00	33.549999	0.9789	33.550	0.9789	12.79	2.7	-0.534	34.954	0.04	
81A-1652	2020-05-03 00:19:27	568	4	02:00	1.780000	0.9976	1.600	0.9972	12.84	2.6	-0.535	13.482	0.039	
81A-1652	2020-05-03 00:22:59	569	1	02:00	3.790000	0.9990	3.010	0.9980	12.66	2.5	-0.522	8.853	0.055	
81A-1652	2020-05-03 00:26:30	570	2	02:00	2.870000	0.9987	2.270	0.9970	12.97	2.7	-0.534	12.478	0.04	
81A-1652	2020-05-03 00:30:01	571	3	02:00	38.650002	0.9924	38.650	0.9924	13	2.7	-0.534	34.987	0.04	
81A-1652	2020-05-03 00:33:36	572	4	02:00	1.630000	0.9977	1.600	0.9977	13.06	2.6	-0.534	13.451	0.04	
81A-1652	2020-05-03 00:37:08	573	1	02:00	3.990000	0.9992	3.180	0.9980	12.78	2.5	-0.484	7.538	0.148	
81A-1652	2020-05-03 00:40:40	574	2	02:00	3.340000	0.9986	2.280	0.9950	13.14	2.7	-0.535	12.453	0.039	
81A-1652	2020-05-03 00:44:14	575	3	02:00	37.700001	0.9946	37.700	0.9946	13.16	2.7	-0.534	35.657	0.04	
81A-1652	2020-05-03 00:47:49	576	4	02:00	1.710000	0.9981	1.630	0.9980	13.23	2.6	-0.534	13.41	0.041	
81A-1652	2020-05-03 00:51:21	577	1	02:00	3.780000	0.9993	3.140	0.9987	13.14	2.5	-0.531	9.046	0.044	
81A-1652	2020-05-03 00:54:52	578	2	02:00	3.080000	0.9987	2.280	0.9962	13.29	2.7	-0.534	12.426	0.04	
81A-1652	2020-05-03 00:58:26	579	3	02:00	36.580002	0.9922	36.400	0.9922	13.32	2.7	-0.534	34.898	0.04	
81A-1652	2020-05-03 01:01:57	580	4	02:00	1.610000	0.9976	1.580	0.9976	13.37	2.6	-0.534	13.39	0.04	
81A-1652	2020-05-03 01:05:29	581	1	02:00	4.050000	0.9994	3.170	0.9983	12.41	2.5	-0.487	7.843	0.117	
81A-1652	2020-05-03 01:09:01	582	2	02:00	2.870000	0.9988	2.260	0.9970	13.45	2.7	-0.534	12.421	0.04	
81A-1652	2020-05-03 01:12:33	583	3	02:00	41.900002	0.9939	37.560	0.9926	13.48	2.7	-0.534	35.212	0.04	
81A-1652	2020-05-03 01:16:04	584	4	02:00	1.640000	0.9975	1.640	0.9975	13.5	2.6	-0.534	13.374	0.04	
81A-1652	2020-05-03 01:19:40	585	1	02:00	4.220000	0.9993	3.210	0.9978	13.38	2.5	-0.526	8.912	0.05	
81A-1652	2020-05-03 01:23:11	586	2	02:00	2.900000	0.9989	2.240	0.9967	13.59	2.7	-0.534	12.4	0.04	
81A-1652	2020-05-03 01:26:44	587	3	02:00	43.209999	0.9959	35.890	0.9926	13.6	2.7	-0.535	36.57	0.039	
81A-1652	2020-05-03 01:30:16	588	4	02:00	1.830000	0.9984	1.640	0.9980	13.58	2.6	-0.534	13.362	0.04	
81A-1652	2020-05-03 01:33:48	589	1	02:00	3.730000	0.9995	3.160	0.9989	13.36	2.5	-0.486	7.664	0.137	
81A-1652	2020-05-03 01:37:19	590	2	02:00	2.760000	0.9988	2.240	0.9972	13.6	2.7	-0.534	12.392	0.04	
81A-1652	2020-05-03 01:40:50	591	3	02:00	40.290001	0.9944	37.490	0.9939	13.63	2.7	-0.534	36.46	0.04	
81A-1652	2020-05-03 01:44:21	592	4	02:00	1.750000	0.9981	1.630	0.9979	13.71	2.6	-0.534	13.34	0.04	
81A-1652	2020-05-03 01:47:53	593	1	02:00	4.180000	0.9994	3.180	0.9978	13.68	2.5	-0.53	9.005	0.044	
81A-1652	2020-05-03 01:51:24	594	2	02:00	2.800000	0.9988	2.270	0.9974	13.77	2.7	-0.534	12.385	0.04	
81A-1652	2020-05-03 01:54:54	595	3	02:00	35.810001	0.9933	35.810	0.9933	13.83	2.7	-0.534	36.186	0.04	
81A-1652	2020-05-03 01:58:29	596	4	02:00	1.660000	0.9975	1.580	0.9975	13.84	2.6	-0.534	13.341	0.04	
81A-1652	2020-05-03 02:02:01	597	1	02:00	4.350000	0.9995	3.160	0.9977	13.46	2.5	-0.486	7.645	0.135	
81A-1652	2020-05-03 02:05:32	598	2	02:00	3.000000	0.9988	2.300	0.9973	13.94	2.7	-0.534	12.376	0.04	
81A-1652	2020-05-03 02:09:04	599	3	02:00	36.900002	0.9704	36.900	0.9704	14	2.7	-0.534	36.073	0.04	
81A-1652	2020-05-03 02:12:39	600	4	02:00	1.630000	0.9983	1.630	0.9983	13.99	2.6	-0.534	13.337	0.04	
81A-1652	2020-05-03 02:16:15	601	1	02:00	4.100000	0.9995	3.240	0.9985	13.92	2.5	-0.482	7.391	0.148	
81A-1652	2020-05-03 02:19:47	602	2	02:00	3.180000	0.9992	2.250	0.9962	13.95	2.7	-0.534	12.385	0.04	
81A-1652	2020-05-03 02:23:20	603	3	02:00	36.290001	0.9938	36.290	0.9938	13.94	2.7	-0.534	36.286	0.04	
81A-1652	2020-05-03 02:26:55	604	4	02:00	1.620000	0.9981	1.620	0.9981	13.94	2.6	-0.534	13.332	0.04	
81A-1652	2020-05-03 02:30:31	605	1	02:00	4.110000	0.9997	3.280	0.9986	13.61	2.5	-0.503	8.217	0.097	
81A-1652	2020-05-03 02:34:03	606	2	02:00	2.930000	0.9992	2.310	0.9971	13.92	2.7	-0.534	12.383	0.04	
81A-1652	2020-05-03 02:37:37	607	3	02:00	38.509998	0.9915	38.510	0.9915	14.04	2.7	-0.534	36.167	0.04	
81A-1652	2020-05-03 02:41:11	608	4	02:00	1.640000	0.9990	1.640	0.9990	14.01	2.565	-0.534	13.341	0.04	
81A-1652	2020-05-03 02:44:47	609	1	02:00	4.860000	0.9994	3.320	0.9973	13.55	2.5	-0.498	7.991	0.12	
81A-1652	2020-05-03 02:48:18	610	2	02:00	2.790000	0.9994	2.340	0.9982	13.99	2.7	-0.534	12.379	0.04	
81A-1652	2020-05-03 02:51:49	611	3	02:00	39.910000	0.9874	39.910	0.9874	14.09	2.7	-0.534	36.033	0.04	
81A-1652	2020-05-03 02:55:24	612	4	02:00	1.620000	0.9988	1.580	0.9987	14.1	2.6	-0.534	13.32	0.04	
81A-1652	2020-05-03 02:58:56	613	1	02:00	4.580000	0.9997	3.380	0.9980	13.94	2.5	-0.51	8.446	0.074	
81A-1652	2020-05-03 03:02:27	614	2	02:00	2.910000	0.9992	2.290	0.9976	14.1	2.7	-0.534	12.382	0.04	
81A-1652	2020-05-03 03:06:00	615	3	02:00	38.930000	0.9910	38.930	0.9910	14.18	2.7	-0.534	35.649	0.04	
81A-1652	2020-05-03 03:09:35	616	4	02:00	1.690000	0.9985	1.630	0.9984	14.19	2.6	-0.534	13.325	0.04	
81A-1652	2020-05-03 03:13:08	617	1	02:00	4.250000	0.9995	3.330	0.9983	14.06	2.465	-0.48	7.463	0.136	
81A-1652	2020-05-03 03:16:40	618	2	02:00	3.030000	0.9993	2.280	0.9979	14.13	2.7	-0.534	12.379	0.04	
81A-1652	2020-05-03 03:20:12	619	3	02:00	38.070000	0.9884	38.070	0.9884	14.15	2.7	-0.534	35.667	0.04	
81A-1652	2020-05-03 03:23:47	620	4	02:00	1.600000	0.9983	1.600	0.9983	14.12	2.6	-0.535	13.322	0.039	
81A-1652	2020-05-03 03:27:19	621	1	02:00	4.680000	0.9996	3.380	0.9976	13.95	2.5	-0.506	8.223	0.085	
81A-1652	2020-05-03 03:30:50	622	2	02:00	3.350000	0.9986	2.280	0.9961	14.1	2.7	-0.534	12.378	0.04	
81A-1652	2020-05-03 03:34:21	623	3	02:00	36.919998	0.9888	36.920	0.9888	14.13	2.7	-0.534	35.406	0.04	
81A-1652	2020-05-03 03:37:56	624	4	02:00	1.590000	0.9982	1.590	0.9982	14.19	2.565	-0.534	13.321	0.04	
81A-1652	2020-05-03 03:41:32	625	1	02:00	4.430000	0.9994	3.200	0.9973	13.99	2.5	-0.489	7.694	0.133	
81A-1652	2020-05-03 03:45:03	626	2	02:00	2.950000	0.9994	2.320	0.9978	14.17	2.7	-0.534	12.384	0.04	
81A-1652	2020-05-03 03:48:36	627	3	02:00	40.240002	0.9906	40.240	0.9906	14.25	2.7	-0.534	34.431	0.04	
81A-1652	2020-05-03 03:52:11	628	4	02:00	1.590000	0.9983	1.590	0.9983	14.23	2.6	-0.535	13.324	0.039	
81A-1652	2020-05-03 03:55:47	629	1	02:00	3.810000	0.9994	3.150	0.9987	14.04	2.5	-0.533	9.049	0.041	
81A-1652	2020-05-03 03:59:18	630	2	02:00	3.060000	0.9989	2.290	0.9972	14.26	2.7	-0.535	12.388	0.039	
81A-1652	2020-05-03 04:02:49	631	3	02:00	42.419998	0.9814	42.420	0.9814	14.35	2.7	-0.535	33.786	0.039	
81A-1652	2020-05-03 04:06:24	632	4	02:00	1.690000	0.9985	1.580	0.9984	14.37	2.6	-0.534	13.312	0.04	
81A-1652	2020-05-03 04:09:56	633	1	02:00	4.130000	0.9996	3.220	0.9983	14.36	2.5	-0.493	7.992	0.108	
81A-1652	2020-05-03 04:13:28	634	2	02:00	2.840000	0.9995	2.280	0.9981	14.43	2.7	-0.534	12.378	0.04	
81A-1652	2020-05-03 04:17:01	635	3	02:00	40.130001	0.9891	40.130	0.9891	14.57	2.7	-0.534	33.843	0.04	
81A-1652	2020-05-03 04:20:36	636	4	02:00	1.640000	0.9985	1.510	0.9983	14.63	2.542	-0.535	13.328	0.039	
81A-1652	2020-05-03 04:24:08	637	1	02:00	3.800000	0.9995	3.160	0.9984	14.63	2.5	-0.494	8.095	0.123	
81A-1652	2020-05-03 04:27:38	638	2	02:00	2.960000	0.9993	2.320	0.9974	14.76	2.7	-0.535	12.381	0.039	
81A-1652	2020-05-03 04:31:12	639	3	02:00	40.270000	0.9921	39.060	0.9920	14.85	2.7	-0.534	33.773	0.04	
81A-1652	2020-05-03 04:34:43	640	4	02:00	1.610000	0.9978	1.510	0.9976	14.88	2.582	-0.534	13.318	0.04	
81A-1652	2020-05-03 04:38:15	641	1	02:00	3.640000	0.9997	3.200	0.9992	14.73	2.5	-0.503	8.12	0.101	
81A-1652	2020-05-03 04:41:46	642	2	02:00	2.950000	0.9987	2.320	0.9968	14.96	2.7	-0.534	12.374	0.04	
81A-1652	2020-05-03 04:45:19	643	3	02:00	37.930000	0.9976	37.350	0.9976	15.02	2.7	-0.534	33.074	0.04	
81A-1652	2020-05-03 04:48:50	644	4	02:00	1.500000	0.9986	1.500	0.9986	15.32	2.515	-0.534	13.319	0.04	
81A-1652	2020-05-03 04:52:26	645	1	02:00	3.450000	0.9994	3.130	0.9991	13.68	2.5	-0.499	8.194	0.111	
81A-1652	2020-05-03 04:55:56	646	2	02:00	2.750000	0.9988	2.290	0.9975	15.07	2.7	-0.534	12.386	0.04	
81A-1652	2020-05-03 04:59:26	647	3	02:00	39.669998	0.9812	39.670	0.9812	15.12	2.7	-0.534	33.717	0.04	
81A-1652	2020-05-03 05:03:01	648	4	02:00	1.540000	0.9985	1.540	0.9985	14.94	2.485	-0.534	13.318	0.04	
81A-1652	2020-05-03 05:06:37	649	1	02:00	4.320000	0.9994	3.260	0.9979	14.39	2.5	-0.507	8.236	0.094	
81A-1652	2020-05-03 05:10:08	650	2	02:00	3.120000	0.9994	2.300	0.9976	14.79	2.7	-0.535	12.387	0.039	
81A-1652	2020-05-03 05:13:39	651	3	02:00	39.980000	0.9859	39.980	0.9859	14.9	2.764	-0.535	33.419	0.039	
81A-1652	2020-05-03 05:17:14	652	4	02:00	1.750000	0.9984	1.640	0.9983	14.87	2.6	-0.535	13.303	0.039	
81A-1652	2020-05-03 05:20:46	653	1	02:00	4.150000	0.9995	3.220	0.9983	11.8	2.5	-0.535	9.124	0.038	
81A-1652	2020-05-03 05:24:17	654	2	02:00	2.130000	0.9989	2.120	0.9989	14.76	2.7	-0.535	12.38	0.039	
81A-1652	2020-05-03 05:27:47	655	3	02:00	39.230000	0.9905	39.230	0.9905	14.75	2.8	-0.535	33.447	0.038	
81A-1652	2020-05-03 05:31:22	656	4	02:00	1.630000	0.9979	1.530	0.9978	14.75	2.6	-0.535	13.313	0.038	
81A-1652	2020-05-03 05:34:54	657	1	02:00	4.540000	0.9994	3.330	0.9975	11.4	2.5	-0.535	9.109	0.038	
81A-1652	2020-05-03 05:38:24	658	2	02:00	3.020000	0.9994	2.260	0.9977	14.76	2.8	-0.535	12.378	0.039	
81A-1652	2020-05-03 05:41:55	659	3	02:00	41.099998	0.9955	39.280	0.9953	14.76	2.8	-0.535	35.084	0.038	
81A-1652	2020-05-03 05:45:26	660	4	02:00	1.530000	0.9980	1.530	0.9980	14.77	2.6	-0.535	13.31	0.038	
81A-1652	2020-05-03 05:49:02	661	1	02:00	4.490000	0.9994	3.260	0.9978	11.99	2.5	-0.501	8.031	0.104	
81A-1652	2020-05-03 05:52:33	662	2	02:00	3.040000	0.9989	2.310	0.9966	14.7	2.8	-0.535	12.389	0.038	
81A-1652	2020-05-03 05:56:06	663	3	02:00	40.980000	0.9949	39.680	0.9948	14.64	2.8	-0.535	34.687	0.038	
81A-1652	2020-05-03 05:59:37	664	4	02:00	1.670000	0.9984	1.570	0.9983	14.59	2.6	-0.535	13.307	0.038	
81A-1652	2020-05-03 06:03:09	665	1	02:00	4.450000	0.9995	3.340	0.9983	14.02	2.5	-0.535	9.105	0.038	
81A-1652	2020-05-03 06:06:40	666	2	02:00	3.200000	0.9991	2.330	0.9963	14.44	2.8	-0.535	12.384	0.038	
81A-1652	2020-05-03 06:10:13	667	3	02:00	39.200001	0.9965	38.170	0.9964	14.45	2.8	-0.535	33.278	0.038	
81A-1652	2020-05-03 06:13:43	668	4	02:00	1.560000	0.9981	1.530	0.9981	14.41	2.6	-0.535	13.316	0.038	
81A-1652	2020-05-03 06:17:15	669	1	02:00	4.290000	0.9995	3.260	0.9982	13.67	2.5	-0.535	9.107	0.038	
81A-1652	2020-05-03 06:20:46	670	2	02:00	3.170000	0.9986	2.290	0.9959	14.36	2.8	-0.535	12.387	0.038	
81A-1652	2020-05-03 06:24:19	671	3	02:00	38.790001	0.9965	38.790	0.9965	14.38	2.8	-0.535	34.647	0.038	
81A-1652	2020-05-03 06:27:53	672	4	02:00	1.530000	0.9984	1.530	0.9984	14.35	2.6	-0.535	13.305	0.038	
81A-1652	2020-05-03 06:31:29	673	1	02:00	3.990000	0.9995	3.320	0.9988	13.38	2.498	-0.535	9.11	0.038	
81A-1652	2020-05-03 06:35:00	674	2	02:00	3.210000	0.9992	2.350	0.9968	14.28	2.8	-0.535	12.393	0.038	
81A-1652	2020-05-03 06:38:33	675	3	02:00	40.770000	0.9956	39.120	0.9954	14.3	2.8	-0.535	34.88	0.038	
81A-1652	2020-05-03 06:42:03	676	4	02:00	1.640000	0.9983	1.580	0.9983	14.31	2.6	-0.535	13.34	0.038	
81A-1652	2020-05-03 06:45:35	677	1	02:00	4.520000	0.9993	3.270	0.9976	13.53	2.542	23788.7	9.11	39045.1	
81A-1652	2020-05-03 06:49:06	678	2	02:00	3.130000	0.9987	2.260	0.9961	14.29	2.8	-0.535	12.396	0.038	
81A-1652	2020-05-03 06:52:39	679	3	02:00	38.090000	0.9971	37.500	0.9971	14.28	2.8	-0.535	34.87	0.038	
81A-1652	2020-05-03 06:56:09	680	4	02:00	1.640000	0.9991	1.570	0.9991	14.29	2.6	-0.535	13.314	0.038	
81A-1652	2020-05-03 06:59:41	681	1	02:00	4.100000	0.9996	3.220	0.9983	13.46	2.585	-0.535	9.115	0.038	
81A-1652	2020-05-03 07:03:12	682	2	02:00	2.900000	0.9989	2.340	0.9972	14.31	2.8	-0.535	12.415	0.038	
81A-1652	2020-05-03 07:06:44	683	3	02:00	39.959999	0.9980	38.760	0.9979	14.36	2.8	-0.535	34.661	0.038	
81A-1652	2020-05-03 07:10:14	684	4	02:00	1.560000	0.9982	1.560	0.9982	14.37	2.6	-0.535	13.335	0.038	
81A-1652	2020-05-03 07:13:50	685	1	02:00	4.030000	0.9993	3.020	0.9977	13.48	2.584	-0.535	9.118	0.038	
81A-1652	2020-05-03 07:17:21	686	2	02:00	3.050000	0.9987	2.300	0.9972	14.29	2.8	-0.535	12.403	0.038	
81A-1652	2020-05-03 07:20:52	687	3	02:00	41.000000	0.9975	38.250	0.9971	14.31	2.8	-0.535	34.651	0.038	
81A-1652	2020-05-03 07:24:22	688	4	02:00	1.610000	0.9978	1.540	0.9977	14.36	2.644	-0.535	13.321	0.038	
81A-1652	2020-05-03 07:27:54	689	1	02:00	4.530000	0.9994	3.050	0.9970	13.21	2.602	-0.535	9.125	0.038	
81A-1652	2020-05-03 07:31:24	690	2	02:00	2.980000	0.9989	2.350	0.9970	14.36	2.8	-0.535	12.405	0.038	
81A-1652	2020-05-03 07:34:57	691	3	02:00	37.860001	0.9976	37.860	0.9976	14.4	2.8	-0.535	34.989	0.038	
81A-1652	2020-05-03 07:38:31	692	4	02:00	1.610000	0.9984	1.550	0.9984	14.42	2.66	-0.535	13.334	0.038	
81A-1652	2020-05-03 07:42:03	693	1	02:00	4.080000	0.9996	3.050	0.9983	13.23	2.587	-0.535	9.12	0.038	
81A-1652	2020-05-03 07:45:34	694	2	02:00	2.790000	0.9995	2.320	0.9982	14.41	2.8	-0.535	12.41	0.038	
